time,Mestput_2,2dagen,3dagen,EVHI
2022-02-14 00:00:00.000,46.31,71.71,90.65,692.84
2022-02-15 00:00:00.000,48.76,95.07,120.47,658.94
2022-02-16 00:00:00.000,49.04,97.8,144.11,650.5
2022-02-17 00:00:00.000,55.76,104.8,153.56,651.09
2022-02-18 00:00:00.000,39.03,94.79,143.83,748.28
2022-02-19 00:00:00.000,33.24,72.27,128.03,665.34
2022-02-20 00:00:00.000,41.1,74.34,113.37,715.03
2022-02-21 00:00:00.000,29.95,71.05,104.29,696.66
2022-02-22 00:00:00.000,45.67,75.62,116.72,787.62
2022-02-23 00:00:00.000,35.47,81.14,111.09,742.84
2022-02-24 00:00:00.000,64.46,99.93,145.6,839.19
2022-02-25 00:00:00.000,48.43,112.89,148.36,575.53
2022-02-26 00:00:00.000,56.69,105.12,169.58,632.84
2022-02-27 00:00:00.000,39.92,96.61,145.04,616.06
2022-02-28 00:00:00.000,30,69.92,126.61,263.75
